STORAGE UID,Bus ID,Discharge Rate MW,Charge Rate MW,Energy Capacity MWh,Initial SOC MWh,Charge Efficiency,Discharge Efficiency,_zone,_mwh_source
EMPCT1_BESS1,2363,10.0,10.0,20.0,10.0,0.96,0.96,NORTH,fallback_2h
TNFS_BESS1,459,9.9,9.9,19.8,9.9,0.96,0.96,WEST,fallback_2h
GZ_BESS1,1498,9.9,9.9,19.8,9.9,0.96,0.96,HOUSTON,fallback_2h
GZ_BESS2,1498,10.0,10.0,20.0,10.0,0.96,0.96,HOUSTON,fallback_2h
HEADCAMP_BESS1,3,152.9,152.9,611.6,305.8,0.96,0.96,WEST,fallback_4h
HV_BESS1,1173,9.9,9.9,19.8,9.9,0.96,0.96,HOUSTON,fallback_2h
OR_BESS,1221,10.0,10.0,20.0,10.0,0.96,0.96,HOUSTON,fallback_2h
KNAPP_BES1,622,10.0,10.0,20.0,10.0,0.96,0.96,WEST,fallback_2h
LANTANA_BESS1,1197,10.0,10.0,20.0,10.0,0.96,0.96,COASTAL,fallback_2h
LAURELES_BESS,262,9.9,9.9,19.8,9.9,0.96,0.96,COASTAL,fallback_2h
LYSSY_BESS1,582,9.9,9.9,19.8,9.9,0.96,0.96,SOUTH,fallback_2h
MEDILA_BESS1,982,9.9,9.9,19.8,9.9,0.96,0.96,SOUTH,fallback_2h
MESQUITE_BESS,831,9.9,9.9,19.8,9.9,0.96,0.96,COASTAL,fallback_2h
MESQUITE_BESS2,831,9.9,9.9,19.8,9.9,0.96,0.96,COASTAL,fallback_2h
MIDP_SLR_BESS1,664,50.9,50.9,101.8,50.9,0.96,0.96,NORTH,fallback_2h
MILTON_BESS1,893,9.9,9.9,19.8,9.9,0.96,0.96,SOUTH,fallback_2h
